day_order,day,calendar_date,days_since_day1,days_since_planting,days_since_previous_photo,tray,tray_no,capture_id,grid_status,cells_processed,cells_with_valid_ndvi,cells_with_valid_ndre,mean_cell_ndvi,median_cell_ndvi,mean_cell_ndre,median_cell_ndre,mean_ndvi_positive_fraction,mean_ndre_positive_fraction,npz_path,ndvi_preview_path,ndre_preview_path,ndvi_overlay_path,ndre_overlay_path,status,notes
1,Day 1,2026-06-29,0,2,0,Tray 11,11,DJI_20260629154652_0012,PASS_AUTO,70,70,70,0.3162529728242329,0.3126016706228256,-0.048390753410889636,-0.08631730824708939,0.9336802218549628,0.38242091327461886,Day 1\Tray 11\DJI_20260629154652_0012_relative_indices.npz,Day 1\Tray 11\DJI_20260629154652_0012_ndvi_preview.png,Day 1\Tray 11\DJI_20260629154652_0012_ndre_preview.png,Day 1\Tray 11\DJI_20260629154652_0012_ndvi_polygon_overlay.png,Day 1\Tray 11\DJI_20260629154652_0012_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
1,Day 1,2026-06-29,0,2,0,Tray 12,12,DJI_20260629154739_0013,PASS_AUTO,70,70,70,0.32340262319360463,0.3119864910840988,-0.04489244702937348,-0.08755182474851608,0.9386823665118159,0.37800723363421285,Day 1\Tray 12\DJI_20260629154739_0013_relative_indices.npz,Day 1\Tray 12\DJI_20260629154739_0013_ndvi_preview.png,Day 1\Tray 12\DJI_20260629154739_0013_ndre_preview.png,Day 1\Tray 12\DJI_20260629154739_0013_ndvi_polygon_overlay.png,Day 1\Tray 12\DJI_20260629154739_0013_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
2,Day 2,2026-06-30,1,3,1,Tray 1,1,DJI_20260630132402_0001,PASS_AUTO,70,70,70,0.3097604689853532,0.3645824193954468,-0.02527438006363809,-0.04119520075619221,0.892939992625384,0.41847175812498427,Day 2\Tray 1\DJI_20260630132402_0001_relative_indices.npz,Day 2\Tray 1\DJI_20260630132402_0001_ndvi_preview.png,Day 2\Tray 1\DJI_20260630132402_0001_ndre_preview.png,Day 2\Tray 1\DJI_20260630132402_0001_ndvi_polygon_overlay.png,Day 2\Tray 1\DJI_20260630132402_0001_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
2,Day 2,2026-06-30,1,3,1,Tray 2,2,DJI_20260630132440_0002,PASS_AUTO,70,70,70,0.3078411393931934,0.3165830075740814,-0.025774642118319337,-0.04858386144042015,0.8943435461790245,0.42051202340204097,Day 2\Tray 2\DJI_20260630132440_0002_relative_indices.npz,Day 2\Tray 2\DJI_20260630132440_0002_ndvi_preview.png,Day 2\Tray 2\DJI_20260630132440_0002_ndre_preview.png,Day 2\Tray 2\DJI_20260630132440_0002_ndvi_polygon_overlay.png,Day 2\Tray 2\DJI_20260630132440_0002_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
2,Day 2,2026-06-30,1,3,1,Tray 3,3,DJI_20260630132506_0003,PASS_AUTO,70,70,70,0.28233109201703754,0.27996906638145447,-0.07889240634228502,-0.09105446562170982,0.9004957298442753,0.3316613690112134,Day 2\Tray 3\DJI_20260630132506_0003_relative_indices.npz,Day 2\Tray 3\DJI_20260630132506_0003_ndvi_preview.png,Day 2\Tray 3\DJI_20260630132506_0003_ndre_preview.png,Day 2\Tray 3\DJI_20260630132506_0003_ndvi_polygon_overlay.png,Day 2\Tray 3\DJI_20260630132506_0003_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
2,Day 2,2026-06-30,1,3,1,Tray 4,4,DJI_20260630132544_0004,PASS_AUTO,70,70,70,0.2987387838108199,0.26233792304992676,-0.04715925922750362,-0.07044832780957222,0.9004209295485871,0.3697117903422756,Day 2\Tray 4\DJI_20260630132544_0004_relative_indices.npz,Day 2\Tray 4\DJI_20260630132544_0004_ndvi_preview.png,Day 2\Tray 4\DJI_20260630132544_0004_ndre_preview.png,Day 2\Tray 4\DJI_20260630132544_0004_ndvi_polygon_overlay.png,Day 2\Tray 4\DJI_20260630132544_0004_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
2,Day 2,2026-06-30,1,3,1,Tray 5,5,DJI_20260630132609_0005,PASS_AUTO,70,70,70,0.3028740099498204,0.3583918511867523,-0.03130425352179113,-0.040771618485450745,0.8800424234515313,0.4428452220463779,Day 2\Tray 5\DJI_20260630132609_0005_relative_indices.npz,Day 2\Tray 5\DJI_20260630132609_0005_ndvi_preview.png,Day 2\Tray 5\DJI_20260630132609_0005_ndre_preview.png,Day 2\Tray 5\DJI_20260630132609_0005_ndvi_polygon_overlay.png,Day 2\Tray 5\DJI_20260630132609_0005_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
2,Day 2,2026-06-30,1,3,1,Tray 6,6,DJI_20260630132636_0006,PASS_AUTO,70,70,70,0.32000582005296435,0.4082539975643158,-0.0054101466242822685,0.0006037261337041855,0.8887541630339212,0.497372385976857,Day 2\Tray 6\DJI_20260630132636_0006_relative_indices.npz,Day 2\Tray 6\DJI_20260630132636_0006_ndvi_preview.png,Day 2\Tray 6\DJI_20260630132636_0006_ndre_preview.png,Day 2\Tray 6\DJI_20260630132636_0006_ndvi_polygon_overlay.png,Day 2\Tray 6\DJI_20260630132636_0006_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
2,Day 2,2026-06-30,1,3,1,Tray 7,7,DJI_20260630132722_0007,PASS_AUTO,70,70,70,0.33160459995269775,0.41599972546100616,-0.004653188161319122,0.009053326211869717,0.8968060671958941,0.5041250390320244,Day 2\Tray 7\DJI_20260630132722_0007_relative_indices.npz,Day 2\Tray 7\DJI_20260630132722_0007_ndvi_preview.png,Day 2\Tray 7\DJI_20260630132722_0007_ndre_preview.png,Day 2\Tray 7\DJI_20260630132722_0007_ndvi_polygon_overlay.png,Day 2\Tray 7\DJI_20260630132722_0007_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
2,Day 2,2026-06-30,1,3,1,Tray 8,8,DJI_20260630132807_0008,PASS_AUTO,70,70,70,0.31401834722076144,0.38654546439647675,-0.014739590157738089,-0.024309545755386353,0.8949064572775658,0.46706921716000754,Day 2\Tray 8\DJI_20260630132807_0008_relative_indices.npz,Day 2\Tray 8\DJI_20260630132807_0008_ndvi_preview.png,Day 2\Tray 8\DJI_20260630132807_0008_ndre_preview.png,Day 2\Tray 8\DJI_20260630132807_0008_ndvi_polygon_overlay.png,Day 2\Tray 8\DJI_20260630132807_0008_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
2,Day 2,2026-06-30,1,3,1,Tray 9,9,DJI_20260630132830_0009,PASS_AUTO,70,70,70,0.32903079092502596,0.4088381379842758,-0.014075050597810852,-0.023124470375478268,0.8965670041884812,0.4823433458765328,Day 2\Tray 9\DJI_20260630132830_0009_relative_indices.npz,Day 2\Tray 9\DJI_20260630132830_0009_ndvi_preview.png,Day 2\Tray 9\DJI_20260630132830_0009_ndre_preview.png,Day 2\Tray 9\DJI_20260630132830_0009_ndvi_polygon_overlay.png,Day 2\Tray 9\DJI_20260630132830_0009_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
2,Day 2,2026-06-30,1,3,1,Tray 10,10,DJI_20260630132857_0010,PASS_AUTO,70,70,70,0.31278786872114456,0.3796708732843399,-0.03678564615547657,-0.04497618414461613,0.902518972614697,0.4270869781275696,Day 2\Tray 10\DJI_20260630132857_0010_relative_indices.npz,Day 2\Tray 10\DJI_20260630132857_0010_ndvi_preview.png,Day 2\Tray 10\DJI_20260630132857_0010_ndre_preview.png,Day 2\Tray 10\DJI_20260630132857_0010_ndvi_polygon_overlay.png,Day 2\Tray 10\DJI_20260630132857_0010_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
