day_order,day,calendar_date,days_since_day1,days_since_planting,days_since_previous_photo,tray,tray_no,capture_id,grid_status,cell_id,row,column,x,y,poly_tl_x,poly_tl_y,poly_tr_x,poly_tr_y,poly_br_x,poly_br_y,poly_bl_x,poly_bl_y,coordinate_source,needs_review,ndvi_zone_pixels,ndvi_valid_pixels,ndvi_valid_fraction,ndvi_mean,ndvi_median,ndvi_std,ndvi_p10,ndvi_p90,ndvi_positive_fraction,ndre_zone_pixels,ndre_valid_pixels,ndre_valid_fraction,ndre_mean,ndre_median,ndre_std,ndre_p10,ndre_p90,ndre_positive_fraction,microbe_status,treatment,fixed_environment,observed_environment,environment_group,heat_phase,moisture_phase,moisture_watered_today,microbe_treatment,treatment_environment,microbe_environment,observed_ndvi_mean,observed_ndre_mean,adjusted_ndvi_mean,adjusted_ndre_mean,day7_imputed,bug_flag_source,imputation_method,ndvi_prior_slope_per_day,ndre_prior_slope_per_day,ndvi_adjustment_difference,ndre_adjustment_difference
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,1,1,1,67.52476932671757,78.29108597870055,6.944104264357015,25.55407169141264,128.88732055090296,26.03064836578812,128.16812653036808,131.0496547268027,6.287366933267642,130.59327379182943,projection_regular_lattice,No,13038,13038,1.0,0.3101431429386139,0.268037736415863,0.2161430418491363,0.0393207520246505,0.575376033782959,0.9252185918085596,13038,13038,1.0,-0.0701933205127716,-0.1236109212040901,0.2170481234788894,-0.3461695909500122,0.2285289168357849,0.3762847062432888,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3101431429386139,-0.0701933205127716,0.2968725115060807,-0.11713784001767624,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.0050052553415298115,-0.012739622965455048,-0.013270631432533209,-0.046944519504904636
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,2,1,2,203.0425487324129,78.79378450758446,142.4425683075528,26.08204020419885,264.49381164070394,26.53051662121665,263.70522129856295,131.5270832717843,141.71643465485732,131.09880259416877,projection_regular_lattice,No,13038,13038,1.0,0.3292519748210907,0.3885256648063659,0.2158714234828949,0.0420143380761146,0.5707857012748718,0.9202331645957968,13038,13038,1.0,-0.0521510243415832,-0.0753592848777771,0.2140799164772033,-0.3568466603755951,0.2398350238800048,0.3839545942629238,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3292519748210907,-0.0521510243415832,0.27542538940906525,-0.134360069001559,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.01959647238254545,-0.026933605957310598,-0.05382658541202545,-0.0822090446599758
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,3,1,3,338.6803581898918,79.2652605282932,278.0610624025322,26.57878620880988,400.22033278228855,26.99916236847,399.3623461185414,131.97328930859075,277.26553242823053,131.57310888833285,projection_regular_lattice,No,13038,13038,1.0,0.2939838767051697,0.2504714429378509,0.2210218161344528,0.066188059747219,0.5606737732887268,0.925985580610523,13038,13038,1.0,-0.0485802106559276,-0.0804749354720115,0.2177885472774505,-0.3610128164291382,0.2251313328742981,0.3492100015339776,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.2939838767051697,-0.0485802106559276,0.259331911802292,-0.05892864800989622,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.011167615652084309,-0.0033147875219583425,-0.0346519649028777,-0.01034843735396862
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,4,1,4,474.4381976991544,79.70551404082671,413.79958654929504,27.04430970524569,536.0668839756568,27.43658560754813,535.1395009903035,132.388272837222,412.93466025338734,132.01619267432176,projection_regular_lattice,No,13038,13038,1.0,0.305216372013092,0.2993293404579162,0.2238952666521072,0.0426296554505825,0.5749769806861877,0.9213836477987422,13038,13038,1.0,-0.0402000807225704,-0.0662674158811569,0.2249431610107422,-0.3358106911182403,0.2579266130924225,0.3795060592115355,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.305216372013092,-0.0402000807225704,0.26618379354476956,-0.07017622794955958,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.013255983591079622,-0.00978566054254769,-0.03903257846832242,-0.02997614722698918
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,5,1,5,610.3160672602005,80.11454504518504,549.6581407478416,27.478610693506305,672.0334652208086,27.84278633845107,671.0366859138493,132.772033857678,548.7238181303278,132.42805395213546,projection_regular_lattice,No,13039,13039,1.0,0.3072659373283386,0.2945484220981598,0.2217232435941696,0.0434690341353416,0.5840899348258972,0.9256077920085896,13039,13039,1.0,-0.0446433201432228,-0.0628082007169723,0.2189783751964569,-0.3508757352828979,0.2473562061786651,0.364291740164123,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3072659373283386,-0.0446433201432228,0.25617279112339025,-0.10020931623876084,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.013261720538139319,-0.011485146358609184,-0.05109314620494837,-0.055565996095538035
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,6,1,6,746.3139668730302,80.49235354136816,685.6367249981719,27.88168917359173,808.120076517744,28.21776456117881,807.0539008891784,133.12457236995886,684.6330060590518,132.80869272177398,projection_regular_lattice,No,13038,13038,1.0,0.3302371799945831,0.3765522241592407,0.2112440019845962,0.0590850114822387,0.5779494643211365,0.9261389783709156,13038,13038,1.0,-0.0355402715504169,-0.0528345555067062,0.2103819847106933,-0.3254840970039367,0.2553037703037262,0.391471084522166,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3302371799945831,-0.0355402715504169,0.3081714808940888,-0.08065913803875448,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.005008667707443195,-0.009448500350117694,-0.022065699100494274,-0.04511886648833758
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,7,1,7,882.4318965376435,80.8389395293761,821.7353393002855,28.253545145501946,944.3267178664628,28.56152027573136,943.1911459162912,133.44588837406445,820.6622240395594,133.1581089832373,projection_regular_lattice,No,12977,12977,1.0,0.3382781147956848,0.3880434930324554,0.2093760073184967,0.0934988930821418,0.5751001238822937,0.9448254604299916,12977,12977,1.0,-0.0280058141797781,-0.0462999604642391,0.2232721298933029,-0.3371866047382355,0.2419635206460952,0.411959620867689,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3382781147956848,-0.0280058141797781,0.3212053924798965,-0.07623968459665786,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.0039047151803970346,-0.010823564603924791,-0.017072722315788325,-0.048233870416879765
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,8,1,8,1018.6698562540404,81.15430300920882,957.9539836541828,28.594178609236977,1080.6533892669656,28.874053482108707,1079.4484209951877,133.7359818699949,956.8114720718506,133.47630273652538,projection_regular_lattice,No,13030,13030,1.0,0.3177001476287842,0.3375601172447204,0.1987489014863968,0.087658554315567,0.5581597089767456,0.9448196469685342,13030,13030,1.0,-0.0474257655441761,-0.0680433958768844,0.2097352296113968,-0.3364885449409485,0.2200057506561279,0.3680736761320031,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3177001476287842,-0.0474257655441761,0.2970587462186815,-0.08540850505232819,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.004635289311408949,-0.008951425552368199,-0.020641401410102678,-0.03798273950815209
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,9,1,9,1155.027846022221,81.43844398086634,1094.2926580598637,28.9035895647968,1217.1000907192515,29.155364180310848,1215.8257261258675,133.99485285775015,1093.0807501559252,133.76327398163832,projection_regular_lattice,No,13144,13144,1.0,0.3242031037807464,0.358826220035553,0.1931669861078262,0.1020545437932014,0.54472416639328,0.9612751065124772,13144,13144,1.0,-0.0534238629043102,-0.075650118291378,0.1911118179559707,-0.3063856363296509,0.186471477150917,0.3824558734023128,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3242031037807464,-0.0534238629043102,0.31743344664573675,-0.07382279448211188,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.00413170456886288,-0.008112983778119089,-0.006769657135009655,-0.020398931577801677
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,10,1,10,1291.5058658421851,81.69136244434868,1230.7513625173283,29.181778012181432,1353.666822223321,29.405452370337805,1352.3230613083313,134.2225013373302,1229.4700582917842,134.01902271857602,projection_regular_lattice,No,13144,13144,1.0,0.3088408410549164,0.3067407011985779,0.1979076713323593,0.0777228251099586,0.5505502820014954,0.9370815581253804,13144,13144,1.0,-0.0605467110872268,-0.092446394264698,0.2214943319559097,-0.3566135466098785,0.2278820723295211,0.3924223980523433,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3088408410549164,-0.0605467110872268,0.3233612477779388,-0.054809857159852995,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,0.009805828332901003,0.007667396217584601,0.014520406723022405,0.005736853927373803
