day_order,day,calendar_date,days_since_day1,days_since_planting,days_since_previous_photo,tray,tray_no,capture_id,grid_status,cell_id,row,column,x,y,poly_tl_x,poly_tl_y,poly_tr_x,poly_tr_y,poly_br_x,poly_br_y,poly_bl_x,poly_bl_y,coordinate_source,needs_review,ndvi_zone_pixels,ndvi_valid_pixels,ndvi_valid_fraction,ndvi_mean,ndvi_median,ndvi_std,ndvi_p10,ndvi_p90,ndvi_positive_fraction,ndre_zone_pixels,ndre_valid_pixels,ndre_valid_fraction,ndre_mean,ndre_median,ndre_std,ndre_p10,ndre_p90,ndre_positive_fraction
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,1,1,1,81.46320965345738,80.03781052222318,18.081864041752777,26.66855516071649,142.54200105673536,26.82192922583475,144.59428281726585,133.34781723333293,20.335241361925203,133.20343301937592,projection_regular_lattice,No,13482,13482,1.0,0.32465794682502747,0.3643362522125244,0.2180754840373993,0.05895030498504639,0.5878649353981018,0.9319833852544133,13482,13482,1.0,-0.040355946868658066,-0.07045288383960724,0.22121472656726837,-0.3228186368942261,0.26306313276290894,0.40943480195816645
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,2,1,2,219.48398768867384,80.25142324161527,156.35525083579267,26.843789933949587,280.53360984384165,27.08390861489835,282.3624520936588,133.59980789888402,158.38518864525184,133.36867906909652,projection_regular_lattice,No,13490,13490,1.0,0.34151437878608704,0.41330626606941223,0.22782565653324127,0.06488635390996933,0.5974998474121094,0.9334321719792439,13490,13490,1.0,-0.018466396257281303,-0.012509962543845177,0.21944557130336761,-0.30906519293785095,0.259526789188385,0.48302446256486287
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,3,1,3,357.1916790495195,80.56141886748573,294.3155509554619,27.115407613661034,418.2121319565772,27.44227091044033,419.8175346956812,133.9481814709135,296.1220492542077,133.63030802529545,projection_regular_lattice,No,13500,13500,1.0,0.31474530696868896,0.337425172328949,0.21800561249256134,0.05022935941815376,0.5853875279426575,0.9272592592592592,13500,13500,1.0,-0.03777657449245453,-0.057934392243623734,0.20421595871448517,-0.3263157904148102,0.22560712695121765,0.4288888888888889
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,4,1,4,494.58628373599447,80.96779739983458,431.96276440076025,27.48340819985084,555.577567394942,27.89701611246069,556.9595306233327,134.39293794942137,433.5458231887929,133.98831988797275,projection_regular_lattice,No,13383,13383,1.0,0.31212785840034485,0.3269689679145813,0.23437942564487457,0.06689287722110748,0.6041479110717773,0.9283419263244415,13383,13383,1.0,-0.02173430845141411,-0.05812574177980423,0.23842589557170868,-0.35954004526138306,0.282023549079895,0.4413061346484346
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,5,1,5,631.6678017480988,81.47055883866179,569.296891171688,27.947791692519026,692.629916158936,28.44814422095942,693.7884398766133,134.9340773344076,570.6565104490073,134.44271465712845,projection_regular_lattice,No,13383,13383,1.0,0.30540621280670166,0.30287858843803406,0.2207067459821701,0.052818551659584045,0.5902406573295593,0.9299110812224464,13383,13383,1.0,-0.03526880219578743,-0.0796203538775444,0.2289515882730484,-0.3114398419857025,0.2990558445453644,0.3594111933049391
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,6,1,6,768.4362330858324,82.06970318396736,706.3179312682449,28.508558091665584,829.3691782485594,29.095655235936512,830.3042624555235,135.57159962587218,707.454111034851,134.99349233276251,projection_regular_lattice,No,13330,13330,1.0,0.3391217589378357,0.36768823862075806,0.20500609278678894,0.09718704223632812,0.5894389748573303,0.9586646661665417,13330,13330,1.0,-0.006726902909576893,-0.024137800559401512,0.20873558521270752,-0.29078012704849243,0.26375916600227356,0.46211552888222057
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,7,1,7,904.8915777491952,82.7652304357513,843.0258846904312,29.16570739729053,965.795353663812,29.839549157391964,966.506998360063,136.30550482381514,843.9386249463241,135.64065291487495,projection_regular_lattice,No,13329,13329,1.0,0.3494867980480194,0.39803922176361084,0.2182202786207199,0.09268021583557129,0.6015703678131104,0.952209468077125,13329,13329,1.0,0.0073701245710253716,-0.009463722817599773,0.23613372445106506,-0.3103558421134949,0.31339144706726074,0.48480756245779877
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,8,1,8,1041.0338357381872,83.55714059401362,979.420751438247,29.919239609393838,1101.908442404694,30.67982598532581,1102.3966475902316,137.13579292823647,980.1100521834264,136.38419640346575,projection_regular_lattice,No,13214,13214,1.0,0.33151674270629883,0.34714263677597046,0.19568781554698944,0.10680648684501648,0.5752304792404175,0.9752535189950053,13214,13214,1.0,-0.001511451555415988,-0.04856405034661293,0.23979493975639343,-0.2867407202720642,0.3186442255973816,0.4117602542757681
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,9,1,9,1176.8630070528088,84.44543365875433,1115.5025315116918,30.769154727975497,1237.708444471205,31.616485719738016,1237.9732101460295,138.06246393913617,1115.968392746158,137.22412279853492,projection_regular_lattice,No,13161,13161,1.0,0.3212660849094391,0.3530351519584656,0.20054708421230316,0.07720636576414108,0.5586619973182678,0.9469645163741357,13161,13161,1.0,-0.012928489595651627,-0.033707864582538605,0.25571438670158386,-0.35438215732574463,0.33402061462402344,0.4283869006914368
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,10,1,10,1312.3790916930595,85.43010962997337,1251.2712249107665,31.71545275303555,1373.1953598633456,32.6495283606286,1373.2366860274567,139.08551785651426,1251.513646634519,138.16043210008246,projection_regular_lattice,No,13108,13108,1.0,0.273030161857605,0.2645346224308014,0.1882280707359314,0.07297992706298828,0.5237666368484497,0.9483521513579494,13108,13108,1.0,-0.036070309579372406,-0.04105758294463158,0.21621669828891754,-0.30659395456314087,0.23520049452781677,0.3462770826975893
