tray_no,tray,treatment,environment,interaction,day1_mean_ndvi,day5_mean_ndvi,day9_mean_ndvi,day1_mean_ndre,day5_mean_ndre,day9_mean_ndre,ndvi_change_day1_to_day5,ndvi_rate_day1_to_day5_per_day,ndre_change_day1_to_day5,ndre_rate_day1_to_day5_per_day,ndvi_change_day5_to_day9,ndre_change_day5_to_day9,available_day_count
1,Tray 1,No Microbes,Inside,No Microbes | Inside,0.2921030004109655,0.2936696378248078,0.3006910115480423,-0.0639625042410833,-0.0688852027058601,-0.0736864448658057,0.0015666374138423311,0.0003916593534605828,-0.0049226984647768035,-0.0012306746161942009,0.00702137372323447,-0.004801242159945596,6
2,Tray 2,No Microbes,Inside,No Microbes | Inside,0.301305408350059,0.2983117137636457,0.2972454356295722,-0.0689736144617199,-0.0599482592461364,-0.0782392602413892,-0.002993694586413298,-0.0007484236466033245,0.009025355215583501,0.0022563388038958753,-0.0010662781340735061,-0.018291000995252805,5
3,Tray 3,No Microbes,Outside,No Microbes | Outside,0.3057868208203997,0.3050131010157721,0.2954093128442764,-0.0698458246354545,-0.0693837438576987,-0.0904099238770348,-0.0007737198046275928,-0.0001934299511568982,0.0004620807777557939,0.00011552019443894848,-0.009603788171495709,-0.021026180019336094,6
4,Tray 4,No Microbes,Outside,No Microbes | Outside,0.292439632330622,0.2937012802277292,0.3074565448931285,-0.0721438823533909,-0.077509722699012,-0.0918109286576509,0.0012616478971071987,0.0003154119742767997,-0.005365840345621098,-0.0013414600864052745,0.013755264665399336,-0.014301205958638902,6
5,Tray 5,Microbes,Inside,Microbes | Inside,0.3004497753722327,0.296943359715598,0.2970888729606356,-0.0578334293993456,-0.0656102987006306,-0.0848321291485003,-0.0035064156566347315,-0.0008766039141586829,-0.00777686930128501,-0.0019442173253212524,0.00014551324503758734,-0.019221830447869695,6
6,Tray 6,Microbes,Outside,Microbes | Outside,0.2948484016316278,0.2949225263936179,0.307199724657195,-0.0689529244388852,-0.0667207545467785,-0.0752137928668941,7.412476199009088e-05,1.853119049752272e-05,0.0022321698921067,0.000558042473026675,0.012277198263577094,-0.008493038320115595,6
7,Tray 7,Microbes,Outside,Microbes | Outside,0.3049603432416916,0.2653583769287382,0.3089948671204703,-0.0587683578687054,-0.0738337344889129,-0.0819868789187499,-0.039601966312953374,-0.009900491578238343,-0.015065376620207495,-0.0037663441550518737,0.0436364901917321,-0.008153144429837,6
8,Tray 8,Microbes,Inside,Microbes | Inside,0.3037639630692346,0.3025472057717187,0.3000349506735801,-0.0506668416117983,-0.0488300858464624,-0.0874217753963811,-0.0012167572975159135,-0.0003041893243789784,0.0018367557653358943,0.0004591889413339736,-0.0025122550981385716,-0.0385916895499187,6
