day_order,day,calendar_date,days_since_planting,days_since_day1,days_since_previous_photo,tray,tray_no,label_code,microbe_status,treatment,label_environment,observed_environment,environment_type,watering_rule,heat_phase,moisture_watered_today,moisture_phase,day7_bug_rule_applies,capture_id,raw_green_cells,raw_green_percent,tracked_emerged_cells,tracked_emergence_percent,newly_emerged_today,newly_emerged_percent,carried_forward_cells,mean_green_area_percent,mean_rgb_green_cover_percent,possible_day7_bug_eaten_cells,overlay_path,mask_path,status,notes
2,Day 2,30/06/2026,3,1,1,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260630132402_0001,54,77.14285714285715,54,77.14285714285715,54,77.14285714285715,0,0.32979988506085356,0.32979988506085356,0,Day 2\Tray 1\overlays\DJI_20260630132402_0001_visible_emergence_overlay.jpg,Day 2\Tray 1\masks\DJI_20260630132402_0001_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
2,Day 2,30/06/2026,3,1,1,Tray 2,2,N/M,No Microbes,Ideal,Outside,Outside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260630132440_0002,28,40,28,40,28,40,0,0.1399503408111998,0.1399503408111998,0,Day 2\Tray 2\overlays\DJI_20260630132440_0002_visible_emergence_overlay.jpg,Day 2\Tray 2\masks\DJI_20260630132440_0002_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
2,Day 2,30/06/2026,3,1,1,Tray 3,3,N/M,No Microbes,Moisture,Outside,Outside,Fixed,Scheduled watering,N/A,No,Dry period after Day 0 watering,No,DJI_20260630132506_0003,20,28.57142857142857,21,30,20,28.57142857142857,1,0.049886717,0.049886717,0,Day 2\Tray 3\overlays\DJI_20260630132506_0003_visible_emergence_overlay.jpg,Day 2\Tray 3\masks\DJI_20260630132506_0003_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
2,Day 2,30/06/2026,3,1,1,Tray 4,4,N/M,No Microbes,Heat,Dynamic,Inside,Dynamic,Daily watering,Inside before heat exposure,Daily watering,Daily watering control,No,DJI_20260630132544_0004,65,92.85714285714286,65,92.85714285714286,61,87.14285714285714,0,0.7743059848645321,0.7743059848645321,0,Day 2\Tray 4\overlays\DJI_20260630132544_0004_visible_emergence_overlay.jpg,Day 2\Tray 4\masks\DJI_20260630132544_0004_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
2,Day 2,30/06/2026,3,1,1,Tray 5,5,M,Microbes,Moisture,Inside,Inside,Fixed,Scheduled watering,N/A,No,Dry period after Day 0 watering,No,DJI_20260630132609_0005,52,74.28571428571429,52,74.28571428571429,50,71.42857142857143,0,0.37444718186227693,0.37444718186227693,0,Day 2\Tray 5\overlays\DJI_20260630132609_0005_visible_emergence_overlay.jpg,Day 2\Tray 5\masks\DJI_20260630132609_0005_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
2,Day 2,30/06/2026,3,1,1,Tray 6,6,M,Microbes,Heat,Dynamic,Inside,Dynamic,Daily watering,Inside before heat exposure,Daily watering,Daily watering control,No,DJI_20260630132636_0006,56,80,56,80,53,75.71428571428571,0,0.6189022463854371,0.6189022463854371,0,Day 2\Tray 6\overlays\DJI_20260630132636_0006_visible_emergence_overlay.jpg,Day 2\Tray 6\masks\DJI_20260630132636_0006_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
2,Day 2,30/06/2026,3,1,1,Tray 7,7,M,Microbes,Ideal,Outside,Outside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260630132722_0007,19,27.142857142857142,22,31.428571428571427,19,27.142857142857142,3,0.066167003,0.066167003,0,Day 2\Tray 7\overlays\DJI_20260630132722_0007_visible_emergence_overlay.jpg,Day 2\Tray 7\masks\DJI_20260630132722_0007_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
2,Day 2,30/06/2026,3,1,1,Tray 8,8,M,Microbes,Heat,Dynamic,Inside,Dynamic,Daily watering,Inside before heat exposure,Daily watering,Daily watering control,No,DJI_20260630132807_0008,43,61.42857142857143,43,61.42857142857143,40,57.14285714285714,0,0.3883508478679946,0.3883508478679946,0,Day 2\Tray 8\overlays\DJI_20260630132807_0008_visible_emergence_overlay.jpg,Day 2\Tray 8\masks\DJI_20260630132807_0008_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
2,Day 2,30/06/2026,3,1,1,Tray 9,9,M,Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260630132830_0009,59,84.28571428571429,59,84.28571428571429,51,72.85714285714285,0,0.7989436356687424,0.7989436356687424,0,Day 2\Tray 9\overlays\DJI_20260630132830_0009_visible_emergence_overlay.jpg,Day 2\Tray 9\masks\DJI_20260630132830_0009_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
2,Day 2,30/06/2026,3,1,1,Tray 10,10,M,Microbes,Moisture,Outside,Outside,Fixed,Scheduled watering,N/A,No,Dry period after Day 0 watering,No,DJI_20260630132857_0010,7,10,9,12.857142857142856,7,10,2,0.013145203721751144,0.013145203721751144,0,Day 2\Tray 10\overlays\DJI_20260630132857_0010_visible_emergence_overlay.jpg,Day 2\Tray 10\masks\DJI_20260630132857_0010_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
