day_order,day,calendar_date,days_since_planting,days_since_day1,days_since_previous_photo,tray,tray_no,label_code,microbe_status,treatment,label_environment,observed_environment,environment_type,watering_rule,heat_phase,moisture_watered_today,moisture_phase,day7_bug_rule_applies,capture_id,cell_id,row,column,x,y,square_x0,square_y0,square_x1,square_y1,square_side,raw_green_bool,raw_current_green_evidence,tracked_visible_emerged_bool,tracked_visible_emerged,newly_emerged_today,carried_forward_only,first_visible_emergence_day,first_visible_emergence_day_order,first_visible_emergence_date,disappeared_after_previous_emergence,possible_day7_bug_eaten_bool,possible_day7_bug_eaten,green_pixels,largest_green_component,green_area_percent,rgb_green_cover_percent,zone_pixels,coordinate_source,grid_error,grid_needs_review,notes
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,15,2,5,1744.672222,538.2722222,1598.432433,392.0324327,1890.912012,684.5120117,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85849,direct_cup_evidence,0.141365032,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,16,2,6,2075.594444,557.1222222,1929.354655,410.8824327,2221.834234,703.3620117,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.013816026,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,17,2,7,2431.65,492.1944444,2285.41021,345.9546549,2577.88979,638.434234,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.201963224,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,18,2,8,2850.538889,525.7055556,2704.299099,379.465766,2996.778678,671.9453451,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85849,direct_cup_evidence,0.098442227,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,19,2,9,3208.688889,555.0277778,3062.449099,408.7879883,3354.928678,701.2675673,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.011301902,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,20,2,10,3600.35,567.5944444,3454.11021,421.3546549,3746.58979,713.834234,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85849,direct_cup_evidence,0.066340687,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,21,3,1,196.8777778,883.8555556,50.63798826,737.615766,343.1175673,1030.095345,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85264,direct_cup_evidence,0.005154408,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,22,3,2,563.4055556,883.8555556,417.165766,737.615766,709.6453451,1030.095345,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.028099623,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,23,3,3,949.4173796,881.4576704,803.1775901,735.2178809,1095.657169,1027.69746,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85849,global_lattice_fitted,0.26369482,Yes,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,24,3,4,1313.216667,932.0277778,1166.976877,785.7879883,1459.456456,1078.267567,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85264,direct_cup_evidence,0.163284681,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,25,3,5,1673.461111,865.0055556,1527.221322,718.765766,1819.700901,1011.245345,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.102924676,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,26,3,6,2102.822222,869.1944444,1956.582433,722.9546549,2249.062012,1015.434234,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85264,direct_cup_evidence,0.07510363,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,27,3,7,2492.388889,902.7055556,2346.149099,756.465766,2638.628678,1048.945345,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85849,direct_cup_evidence,0.131275695,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,28,3,8,2844.255556,952.9722222,2698.015766,806.7324327,2990.495345,1099.212012,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85264,direct_cup_evidence,0.234619944,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,29,3,9,3211.520882,876.5311941,3065.281093,730.2914046,3357.760672,1022.770984,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85849,global_lattice_fitted,0.266841565,Yes,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,30,3,10,3591.972222,873.3833333,3445.732433,727.1435438,3738.212012,1019.623123,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.012764332,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,31,4,1,194.7833333,1208.494444,48.54354381,1062.254655,341.0231229,1354.734234,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.006975175,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,32,4,2,596.9166667,1200.116667,450.6768771,1053.876877,743.1564562,1346.356456,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85264,direct_cup_evidence,0.073775036,No,
