day_order,day,calendar_date,days_since_day1,days_since_planting,days_since_previous_photo,tray,tray_no,capture_id,grid_status,cell_id,row,column,x,y,poly_tl_x,poly_tl_y,poly_tr_x,poly_tr_y,poly_br_x,poly_br_y,poly_bl_x,poly_bl_y,coordinate_source,needs_review,ndvi_zone_pixels,ndvi_valid_pixels,ndvi_valid_fraction,ndvi_mean,ndvi_median,ndvi_std,ndvi_p10,ndvi_p90,ndvi_positive_fraction,ndre_zone_pixels,ndre_valid_pixels,ndre_valid_fraction,ndre_mean,ndre_median,ndre_std,ndre_p10,ndre_p90,ndre_positive_fraction,microbe_status,treatment,fixed_environment,observed_environment,environment_group,heat_phase,moisture_phase,moisture_watered_today,microbe_treatment,treatment_environment,microbe_environment,observed_ndvi_mean,observed_ndre_mean,adjusted_ndvi_mean,adjusted_ndre_mean,day7_imputed,bug_flag_source,imputation_method,ndvi_prior_slope_per_day,ndre_prior_slope_per_day,ndvi_adjustment_difference,ndre_adjustment_difference
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,1,1,1,81.46320965345738,80.03781052222318,18.081864041752777,26.66855516071649,142.54200105673536,26.82192922583475,144.59428281726585,133.34781723333293,20.335241361925203,133.20343301937592,projection_regular_lattice,No,13482,13482,1.0,0.3246579468250274,0.3643362522125244,0.2180754840373993,0.0589503049850463,0.5878649353981018,0.9319833852544132,13482,13482,1.0,-0.040355946868658,-0.0704528838396072,0.2212147265672683,-0.3228186368942261,0.2630631327629089,0.4094348019581664,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3246579468250274,-0.040355946868658,0.3246579468250274,-0.040355946868658,No,,,,,0.0,0.0
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,2,1,2,219.48398768867384,80.25142324161527,156.35525083579267,26.843789933949587,280.53360984384165,27.08390861489835,282.3624520936588,133.59980789888402,158.38518864525184,133.36867906909652,projection_regular_lattice,No,13490,13490,1.0,0.341514378786087,0.4133062660694122,0.2278256565332412,0.0648863539099693,0.5974998474121094,0.933432171979244,13490,13490,1.0,-0.0184663962572813,-0.0125099625438451,0.2194455713033676,-0.3090651929378509,0.259526789188385,0.4830244625648628,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.341514378786087,-0.0184663962572813,0.341514378786087,-0.0184663962572813,No,,,,,0.0,0.0
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,3,1,3,357.1916790495195,80.56141886748573,294.3155509554619,27.115407613661034,418.2121319565772,27.44227091044033,419.8175346956812,133.9481814709135,296.1220492542077,133.63030802529545,projection_regular_lattice,No,13500,13500,1.0,0.3147453069686889,0.337425172328949,0.2180056124925613,0.0502293594181537,0.5853875279426575,0.9272592592592592,13500,13500,1.0,-0.0377765744924545,-0.0579343922436237,0.2042159587144851,-0.3263157904148102,0.2256071269512176,0.4288888888888889,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3147453069686889,-0.0377765744924545,0.3147453069686889,-0.0377765744924545,No,,,,,0.0,0.0
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,4,1,4,494.58628373599447,80.96779739983458,431.96276440076025,27.48340819985084,555.577567394942,27.89701611246069,556.9595306233327,134.39293794942137,433.5458231887929,133.98831988797275,projection_regular_lattice,No,13383,13383,1.0,0.3121278584003448,0.3269689679145813,0.2343794256448745,0.0668928772211074,0.6041479110717773,0.9283419263244416,13383,13383,1.0,-0.0217343084514141,-0.0581257417798042,0.2384258955717086,-0.359540045261383,0.282023549079895,0.4413061346484346,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3121278584003448,-0.0217343084514141,0.3121278584003448,-0.0217343084514141,No,,,,,0.0,0.0
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,5,1,5,631.6678017480988,81.47055883866179,569.296891171688,27.947791692519026,692.629916158936,28.44814422095942,693.7884398766133,134.9340773344076,570.6565104490073,134.44271465712845,projection_regular_lattice,No,13383,13383,1.0,0.3054062128067016,0.302878588438034,0.2207067459821701,0.052818551659584,0.5902406573295593,0.9299110812224464,13383,13383,1.0,-0.0352688021957874,-0.0796203538775444,0.2289515882730484,-0.3114398419857025,0.2990558445453644,0.3594111933049391,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3054062128067016,-0.0352688021957874,0.3054062128067016,-0.0352688021957874,No,,,,,0.0,0.0
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,6,1,6,768.4362330858324,82.06970318396736,706.3179312682449,28.508558091665584,829.3691782485594,29.095655235936512,830.3042624555235,135.57159962587218,707.454111034851,134.99349233276251,projection_regular_lattice,No,13330,13330,1.0,0.3391217589378357,0.367688238620758,0.2050060927867889,0.0971870422363281,0.5894389748573303,0.9586646661665416,13330,13330,1.0,-0.0067269029095768,-0.0241378005594015,0.2087355852127075,-0.2907801270484924,0.2637591660022735,0.4621155288822205,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3391217589378357,-0.0067269029095768,0.3391217589378357,-0.0067269029095768,No,,,,,0.0,0.0
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,7,1,7,904.8915777491952,82.7652304357513,843.0258846904312,29.16570739729053,965.795353663812,29.839549157391964,966.506998360063,136.30550482381514,843.9386249463241,135.64065291487495,projection_regular_lattice,No,13329,13329,1.0,0.3494867980480194,0.3980392217636108,0.2182202786207199,0.0926802158355712,0.6015703678131104,0.952209468077125,13329,13329,1.0,0.0073701245710253,-0.0094637228175997,0.236133724451065,-0.3103558421134949,0.3133914470672607,0.4848075624577987,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3494867980480194,0.0073701245710253,0.3494867980480194,0.0073701245710253,No,,,,,0.0,0.0
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,8,1,8,1041.0338357381872,83.55714059401362,979.420751438247,29.91923960939384,1101.908442404694,30.67982598532581,1102.3966475902316,137.13579292823647,980.1100521834264,136.38419640346575,projection_regular_lattice,No,13214,13214,1.0,0.3315167427062988,0.3471426367759704,0.1956878155469894,0.1068064868450164,0.5752304792404175,0.9752535189950052,13214,13214,1.0,-0.0015114515554159,-0.0485640503466129,0.2397949397563934,-0.2867407202720642,0.3186442255973816,0.4117602542757681,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3315167427062988,-0.0015114515554159,0.3315167427062988,-0.0015114515554159,No,,,,,0.0,0.0
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,9,1,9,1176.8630070528088,84.44543365875433,1115.5025315116918,30.769154727975497,1237.708444471205,31.616485719738016,1237.9732101460295,138.06246393913617,1115.968392746158,137.22412279853492,projection_regular_lattice,No,13161,13161,1.0,0.3212660849094391,0.3530351519584656,0.2005470842123031,0.077206365764141,0.5586619973182678,0.9469645163741356,13161,13161,1.0,-0.0129284895956516,-0.0337078645825386,0.2557143867015838,-0.3543821573257446,0.3340206146240234,0.4283869006914368,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3212660849094391,-0.0129284895956516,0.3212660849094391,-0.0129284895956516,No,,,,,0.0,0.0
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,10,1,10,1312.3790916930595,85.43010962997337,1251.2712249107665,31.71545275303555,1373.1953598633456,32.6495283606286,1373.2366860274567,139.08551785651426,1251.513646634519,138.16043210008246,projection_regular_lattice,No,13108,13108,1.0,0.273030161857605,0.2645346224308014,0.1882280707359314,0.0729799270629882,0.5237666368484497,0.9483521513579494,13108,13108,1.0,-0.0360703095793724,-0.0410575829446315,0.2162166982889175,-0.3065939545631408,0.2352004945278167,0.3462770826975893,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.273030161857605,-0.0360703095793724,0.273030161857605,-0.0360703095793724,No,,,,,0.0,0.0
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,PASS_AUTO,11,2,1,83.64209527479831,198.2215168345868,20.56430189959496,145.02230308678793,144.80099940386427,145.16568842839365,146.46961620210553,251.36148193198875,22.43401425747814,251.22708644154423,projection_regular_lattice,No,13375,13375,1.0,0.3267271816730499,0.3612954616546631,0.2146870642900467,0.0656906217336654,0.5889483094215393,0.9286728971962616,13375,13375,1.0,-0.0402769073843956,-0.0577491261065006,0.2151273638010025,-0.3413257598876953,0.248208001255989,0.4224299065420561,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3267271816730499,-0.0402769073843956,0.3267271816730499,-0.0402769073843956,No,,,,,0.0,0.0
