day_order,day,tray,tray_no,capture_id,cell_id,row,column,centre_x,centre_y,square_x0,square_y0,square_x1,square_y1,square_side,ndvi_valid_pixels,ndvi_mean,ndvi_median,ndvi_std,ndvi_p10,ndvi_p90,ndre_valid_pixels,ndre_mean,ndre_median,ndre_std,ndre_p10,ndre_p90,coordinate_source,needs_review
1,Day 1,Tray 1,1,DJI_20260618124632_0008,1,1,1,73.837,92.034,20.753,38.95,126.922,145.119,106.169,11236,0.29171520471572876,0.27156862616539,0.20197394490242004,0.04182220250368118,0.5659039616584778,11236,-0.07473890483379364,-0.1260538399219513,0.20980292558670044,-0.3193994164466858,0.2443612962961197,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,2,1,2,210.985,91.619,157.901,38.534,264.07,144.703,106.169,11236,0.3029836118221283,0.318392813205719,0.2070281058549881,0.02624991163611412,0.5467572212219238,11236,-0.05859488993883133,-0.06262677162885666,0.22241586446762085,-0.3604895770549774,0.2473149299621582,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,3,1,3,348.133,91.203,295.049,38.119,401.218,144.288,106.169,11236,0.2901097238063812,0.276489794254303,0.2158232033252716,0.030273467302322388,0.5548369884490967,11236,-0.05936500057578087,-0.09775762259960175,0.24245509505271912,-0.373235285282135,0.27322936058044434,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,4,1,4,485.281,90.788,432.197,37.703,538.366,143.872,106.169,11236,0.2886142432689667,0.2772113084793091,0.22078938782215118,0.03074837476015091,0.551080584526062,11236,-0.0532071478664875,-0.08687746524810791,0.24877454340457916,-0.38496553897857666,0.2573734223842621,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,5,1,5,622.43,90.372,569.345,37.288,675.514,143.457,106.169,11342,0.33322858810424805,0.3906918168067932,0.20554287731647491,0.05735142529010773,0.5600295066833496,11342,-0.03447093814611435,-0.034893959760665894,0.224268838763237,-0.3454718291759491,0.24670778214931488,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,6,1,6,759.578,89.956,706.493,36.872,812.662,143.041,106.169,11342,0.32850852608680725,0.38713985681533813,0.20965704321861267,0.0420648455619812,0.563605010509491,11342,-0.03681453689932823,-0.027418069541454315,0.23459236323833466,-0.35532400012016296,0.26346519589424133,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,7,1,7,896.726,89.541,843.641,36.456,949.81,142.625,106.169,11342,0.3403977155685425,0.4097921550273895,0.18731975555419922,0.1006673127412796,0.5341281890869141,11342,-0.059677138924598694,-0.03336960822343826,0.19494999945163727,-0.33703333139419556,0.1614561676979065,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,8,1,8,1033.874,89.125,980.789,36.041,1086.958,142.21,106.169,11236,0.35992395877838135,0.43351423740386963,0.1879107654094696,0.09983011335134506,0.5558343529701233,11236,-0.036152392625808716,-0.013152506202459335,0.21658700704574585,-0.3381013870239258,0.2223360687494278,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,9,1,9,1171.022,88.71,1117.937,35.625,1224.106,141.794,106.169,11236,0.3094521462917328,0.32186374068260193,0.2031109482049942,0.055563636124134064,0.5455431342124939,11236,-0.06245999410748482,-0.11987079679965973,0.22911766171455383,-0.33980581164360046,0.2421412467956543,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,10,1,10,1308.17,88.294,1255.085,35.21,1361.254,141.379,106.169,11236,0.34131455421447754,0.3933789134025574,0.16196179389953613,0.13772764801979065,0.5231048464775085,11236,-0.06904050707817078,-0.08565746992826462,0.1776362806558609,-0.29121720790863037,0.16816622018814087,ms_nir_circle_supported_lattice,No
1,Day 1,Tray 1,1,DJI_20260618124632_0008,11,2,1,74.369,209.999,21.285,156.914,127.454,263.083,106.169,11236,0.28875139355659485,0.3007706105709076,0.22152888774871826,0.008181006647646427,0.543080747127533,11236,-0.06938312202692032,-0.09847599267959595,0.2347717136144638,-0.3747099041938782,0.24208088219165802,ms_nir_circle_supported_lattice,No
