day_order,day,calendar_date,days_since_planting,days_since_day1,days_since_previous_photo,tray,tray_no,label_code,microbe_status,treatment,label_environment,observed_environment,environment_type,watering_rule,heat_phase,moisture_watered_today,moisture_phase,day7_bug_rule_applies,capture_id,cell_id,row,column,x,y,square_x0,square_y0,square_x1,square_y1,square_side,raw_green_bool,raw_current_green_evidence,tracked_visible_emerged_bool,tracked_visible_emerged,newly_emerged_today,carried_forward_only,first_visible_emergence_day,first_visible_emergence_day_order,first_visible_emergence_date,disappeared_after_previous_emergence,possible_day7_bug_eaten_bool,possible_day7_bug_eaten,green_pixels,largest_green_component,green_area_percent,rgb_green_cover_percent,zone_pixels,coordinate_source,grid_error,grid_needs_review,notes,environment_group,microbe_treatment,treatment_environment,microbe_environment,observed_green_area_percent,adjusted_green_area_percent,day7_imputed,imputation_reason,imputation_method,previous_growth_rate_pp_per_day,previous_observed_green_percent,previous_observed_day_order,previous_observed_days_since_day1,adjusted_raw_current_green_evidence,adjustment_difference_pp
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,12,2,2,567.5944444444444,559.2166666666667,421.3546549221011,412.9768771443233,713.8342339667879,705.45645618901,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85556,direct_cup_evidence,0.0114111514303435,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,13,2,3,940.4055555555556,559.2166666666667,794.1657660332122,412.9768771443233,1086.645345077899,705.45645618901,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85556,direct_cup_evidence,0.0242274759942064,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,14,2,4,1325.7833333333333,563.4055555555556,1179.54354381099,417.1657660332122,1472.0231228556768,709.6453450778989,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85556,direct_cup_evidence,0.0240125278980343,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,15,2,5,1744.6722222222222,538.2722222222222,1598.432432699879,392.0324326998789,1890.9120117445657,684.5120117445656,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85849,direct_cup_evidence,0.1413650323434115,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,16,2,6,2075.5944444444444,557.1222222222223,1929.3546549221007,410.8824326998789,2221.834233966788,703.3620117445656,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85556,direct_cup_evidence,0.0138160255162364,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,17,2,7,2431.65,492.19444444444446,2285.4102104776566,345.9546549221011,2577.889789522344,638.4342339667878,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85556,direct_cup_evidence,0.2019632240620375,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,18,2,8,2850.538888888889,525.7055555555555,2704.2990993665458,379.46576603321216,2996.778678411232,671.945345077899,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85849,direct_cup_evidence,0.0984422267436599,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,19,2,9,3208.688888888889,555.0277777777778,3062.449099366546,408.7879882554344,3354.9286784112323,701.2675673001212,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85556,direct_cup_evidence,0.0113019017398027,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,20,2,10,3600.3500000000004,567.5944444444444,3454.110210477657,421.3546549221011,3746.589789522344,713.8342339667879,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85849,direct_cup_evidence,0.0663406872681751,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,21,3,1,196.8777777777778,883.8555555555556,50.6379882554344,737.6157660332123,343.11756730012115,1030.095345077899,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85264,direct_cup_evidence,0.0051544082813091,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,22,3,2,563.4055555555556,883.8555555555556,417.1657660332122,737.6157660332123,709.6453450778989,1030.095345077899,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85556,direct_cup_evidence,0.0280996226449373,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,23,3,3,949.417379610371,881.4576704472285,803.1775900880275,735.2178809248851,1095.6571691327142,1027.6974599695718,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85849,global_lattice_fitted,0.263694820333509,Yes,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,24,3,4,1313.2166666666667,932.0277777777778,1166.9768771443232,785.7879882554345,1459.4564561890102,1078.2675673001213,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85264,direct_cup_evidence,0.1632846814777814,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,25,3,5,1673.4611111111112,865.0055555555556,1527.2213215887678,718.7657660332122,1819.7009006334545,1011.245345077899,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85556,direct_cup_evidence,0.1029246763538174,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,26,3,6,2102.822222222222,869.1944444444445,1956.5824326998788,722.9546549221011,2249.0620117445656,1015.4342339667878,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85264,direct_cup_evidence,0.0751036297475054,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,27,3,7,2492.388888888889,902.7055555555556,2346.1490993665457,756.4657660332122,2638.628678411232,1048.945345077899,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85849,direct_cup_evidence,0.1312756949032345,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,28,3,8,2844.2555555555555,952.9722222222224,2698.0157660332125,806.7324326998788,2990.495345077899,1099.2120117445656,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85264,direct_cup_evidence,0.2346199442721745,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
