file_no,file_name,relative_path,original_path,backup_path,source_used_for_rotation,rotation,original_width,original_height,new_width,new_height,status,notes
57,DJI_20260702130251_0010_MS_G.TIF,DJI_20260702130251_0010_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130251_0010_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130251_0010_MS_G.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
58,DJI_20260702130251_0010_MS_NIR.TIF,DJI_20260702130251_0010_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130251_0010_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130251_0010_MS_NIR.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
59,DJI_20260702130251_0010_MS_R.TIF,DJI_20260702130251_0010_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130251_0010_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130251_0010_MS_R.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
60,DJI_20260702130251_0010_MS_RE.TIF,DJI_20260702130251_0010_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130251_0010_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130251_0010_MS_RE.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
61,DJI_20260702130331_0011_D.JPG,DJI_20260702130331_0011_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130331_0011_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130331_0011_D.JPG,backup_original,CCW_90,5280,3956,3956,5280,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
62,DJI_20260702130331_0011_F.JPG,DJI_20260702130331_0011_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130331_0011_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130331_0011_F.JPG,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
63,DJI_20260702130331_0011_MS_G.TIF,DJI_20260702130331_0011_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130331_0011_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130331_0011_MS_G.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
64,DJI_20260702130331_0011_MS_NIR.TIF,DJI_20260702130331_0011_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130331_0011_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130331_0011_MS_NIR.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
65,DJI_20260702130331_0011_MS_R.TIF,DJI_20260702130331_0011_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130331_0011_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130331_0011_MS_R.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
66,DJI_20260702130331_0011_MS_RE.TIF,DJI_20260702130331_0011_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130331_0011_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130331_0011_MS_RE.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
67,DJI_20260702130419_0012_D.JPG,DJI_20260702130419_0012_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130419_0012_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130419_0012_D.JPG,backup_original,CCW_90,5280,3956,3956,5280,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
68,DJI_20260702130419_0012_F.JPG,DJI_20260702130419_0012_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130419_0012_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130419_0012_F.JPG,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
69,DJI_20260702130419_0012_MS_G.TIF,DJI_20260702130419_0012_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130419_0012_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130419_0012_MS_G.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
70,DJI_20260702130419_0012_MS_NIR.TIF,DJI_20260702130419_0012_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130419_0012_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130419_0012_MS_NIR.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
71,DJI_20260702130419_0012_MS_R.TIF,DJI_20260702130419_0012_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130419_0012_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130419_0012_MS_R.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
72,DJI_20260702130419_0012_MS_RE.TIF,DJI_20260702130419_0012_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130419_0012_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130419_0012_MS_RE.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
