day_order,day,tray,tray_no,capture_id,capture_sequence_index,status,method,reference_band,cell_count,image_width,image_height,candidate_count,candidate_methods_evaluated,candidate_score,outer_coverage_pass,first_column_x_ratio,last_column_x_ratio,first_row_y_ratio,last_row_y_ratio,horizontal_coverage_ratio,vertical_coverage_ratio,horizontal_spacing_mean,vertical_spacing_mean,max_spacing_cv,median_fit_residual_px,median_fit_residual_ratio,maximum_fit_residual_px,maximum_fit_residual_ratio,fit_inlier_count,mean_cup_contrast,cup_contrast_p05,minimum_cup_contrast,edge_clipped_cell_count,centre_outside_count,source_point_count,source_supported_cell_count,source_mean_distance_ratio,x_profile_score,y_profile_score,overlay_path,reference_image_path,missing_bands,notes
1,Day 1,Tray 1,1,DJI_20260629153749_0001,0,PASS_AUTO,projection_regular_lattice,NIR,70,1376,869,1,projection_regular_lattice,708.4647860067696,Yes,0.06240435647148409,0.9520938162957602,0.09454046333397934,0.9038626740402569,0.889689459824276,0.8093222107062775,136.02504525020302,117.2212636875633,0.0069682494369452674,5.307687363808251,0.039527611302674216,14.059262224227929,0.10470267261614265,70,107.52972815377372,79.29118385314942,74.3865966796875,0,0,0,0,nan,1.1497214089003163,1.1792450376100825,Day 1\Tray 1\overlays\DJI_20260629153749_0001_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 1\Tray 1\DJI_20260629153749_0001_MS_NIR.TIF,,
1,Day 1,Tray 2,2,DJI_20260629153956_0003,0,PASS_AUTO,projection_regular_lattice,NIR,70,1376,866,1,projection_regular_lattice,713.9367306916636,Yes,0.04747002020572126,0.943131167863453,0.08888543175252678,0.9039421306085077,0.8956611476577316,0.8150566988559809,136.9380774021804,117.64305083495078,0.008339914820798787,4.864678294931664,0.036076516195691674,12.914317908487543,0.09577274609654463,70,109.38516867501396,77.97608489990235,73.35456085205078,0,0,0,0,nan,1.1729450744797192,1.1822696152731411,Day 1\Tray 2\overlays\DJI_20260629153956_0003_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 1\Tray 2\DJI_20260629153956_0003_MS_NIR.TIF,,
1,Day 1,Tray 3,3,DJI_20260629154053_0004,0,PASS_AUTO,projection_regular_lattice,NIR,70,1369,864,1,projection_regular_lattice,692.4726145327381,Yes,0.047742249255475835,0.9464549894054473,0.09547467233395246,0.9061779502760214,0.8987127401499714,0.810703277942069,136.70465172486317,116.74443364608571,0.0033142630570945283,4.406649684262249,0.03237519183333875,11.130625149215211,0.0817755324907696,70,99.83792136056083,71.95538864135742,54.57207489013672,0,0,0,0,nan,1.1799446083775529,1.1782361329552449,Day 1\Tray 3\overlays\DJI_20260629154053_0004_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 1\Tray 3\DJI_20260629154053_0004_MS_NIR.TIF,,
1,Day 1,Tray 4,4,DJI_20260629154141_0005,0,PASS_AUTO,projection_regular_lattice,NIR,70,1380,871,1,projection_regular_lattice,770.0936785774185,Yes,0.052491727779258576,0.948017743907955,0.10379893089369059,0.9058775986353389,0.8955260161286964,0.8020786677416484,137.3156260357478,116.43778226487498,0.005949320574851118,4.033734664975673,0.029668032684339794,10.219046155541445,0.07516086716804636,70,124.62806254795619,102.06362533569336,93.13417053222656,0,0,0,0,nan,1.178208986928405,1.164896274717237,Day 1\Tray 4\overlays\DJI_20260629154141_0005_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 1\Tray 4\DJI_20260629154141_0005_MS_NIR.TIF,,
1,Day 1,Tray 5,5,DJI_20260629154235_0006,0,PASS_AUTO,projection_regular_lattice,NIR,70,1363,871,1,projection_regular_lattice,702.1702764934427,Yes,0.05228607384228894,0.9529231236793417,0.09418812422313988,0.9016275617268288,0.9006370498370528,0.807439437503689,136.40055702005031,117.22097714045748,0.005583230321498675,5.114328132077038,0.037777516259604176,20.43598905678461,0.15095255699994348,67,105.60258952549526,83.33932647705078,56.10002899169922,4,0,0,0,nan,1.1685673761269249,1.1808428877611352,Day 1\Tray 5\overlays\DJI_20260629154235_0006_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 1\Tray 5\DJI_20260629154235_0006_MS_NIR.TIF,,
1,Day 1,Tray 6,6,DJI_20260629154321_0007,0,PASS_AUTO,projection_regular_lattice,NIR,70,1378,866,1,projection_regular_lattice,677.1852249665371,Yes,0.052800686674627,0.9531340323816742,0.09443140004232622,0.9064863777243991,0.9003333457070472,0.8120549776820729,137.8513659569482,117.20886215631828,0.0026776519661340114,4.341315451397756,0.031636655148358186,12.826711258505078,0.09347264563376444,70,93.89619364057269,67.6683422088623,56.50468063354492,0,0,0,0,nan,1.1732706415444625,1.1943001249557954,Day 1\Tray 6\overlays\DJI_20260629154321_0007_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 1\Tray 6\DJI_20260629154321_0007_MS_NIR.TIF,,
1,Day 1,Tray 7,7,DJI_20260629154404_0008,0,PASS_AUTO,projection_regular_lattice,NIR,70,1380,866,1,projection_regular_lattice,653.0188066734455,Yes,0.06333354662813472,0.9523317714495234,0.09550059725086406,0.904838556407755,0.8889982248213887,0.809337959156891,136.31389504578155,116.81459184753051,0.0024181206141724422,6.1135384050306385,0.044863442927250995,13.4021254910878,0.0983498347828339,70,88.10153525216239,64.88735160827636,53.01445388793945,0,0,0,0,nan,1.1233033094363427,1.1880826481705964,Day 1\Tray 7\overlays\DJI_20260629154404_0008_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 1\Tray 7\DJI_20260629154404_0008_MS_NIR.TIF,,
1,Day 1,Tray 8,8,DJI_20260629154446_0009,0,PASS_AUTO,projection_regular_lattice,NIR,70,1386,879,1,projection_regular_lattice,708.4923939000363,Yes,0.06103604750101083,0.949546770567688,0.1003883166198531,0.9022054320587426,0.8885107230666771,0.8018171154388896,136.83148382299032,117.47029504990245,0.005025664594292816,5.690173107446713,0.04162232279814369,28.807401345831554,0.2107195923833515,69,104.63270372663226,85.23872756958008,54.614280700683594,0,0,0,0,nan,1.1564407912224464,1.1994315621457579,Day 1\Tray 8\overlays\DJI_20260629154446_0009_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 1\Tray 8\DJI_20260629154446_0009_MS_NIR.TIF,,
1,Day 1,Tray 9,9,DJI_20260629154539_0010,0,PASS_AUTO,projection_regular_lattice,NIR,70,1365,875,1,projection_regular_lattice,663.3385919682943,Yes,0.05618033095355507,0.956166196621555,0.09558339731072481,0.9011794628507577,0.8999858656679999,0.8055960655400328,136.4993281937527,117.4959363382136,0.008938260610409154,5.494035923896904,0.04045965131068981,15.680002672348277,0.11547202265541656,70,95.48059899466378,72.80370063781739,66.30137634277344,7,0,0,0,nan,1.1549053125371518,1.2069994718760977,Day 1\Tray 9\overlays\DJI_20260629154539_0010_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 1\Tray 9\DJI_20260629154539_0010_MS_NIR.TIF,,
1,Day 1,Tray 10,10,DJI_20260629154609_0011,0,PASS_AUTO,projection_regular_lattice,NIR,70,1380,885,1,projection_regular_lattice,675.2611629030646,Yes,0.0633785125804794,0.9535171753476258,0.1046090868311565,0.9040681243654021,0.8901386627671464,0.7994590375342456,136.489561567297,117.92431046291401,0.0067840423031326515,4.077630651121527,0.03025150905280839,10.333387024397885,0.07666230167971848,70,96.2344968523298,67.93512229919433,59.365909576416016,2,0,0,0,nan,1.1445094623787715,1.192196741186456,Day 1\Tray 10\overlays\DJI_20260629154609_0011_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 1\Tray 10\DJI_20260629154609_0011_MS_NIR.TIF,,
1,Day 1,Tray 11,11,DJI_20260629154652_0012,0,PASS_AUTO,projection_regular_lattice,NIR,70,1367,866,1,projection_regular_lattice,736.0363549444818,Yes,0.0524627688819887,0.9496403859783558,0.09767903552187897,0.9108218154360754,0.897177617096367,0.8131427799141964,136.2714511440488,117.36806315237966,0.003275994787805625,4.356210673937467,0.03215701203472439,12.216423710121358,0.090180139041022,70,112.97497068132672,90.72175445556641,78.7996826171875,0,0,0,0,nan,1.1704978093410034,1.17988000216964,Day 1\Tray 11\overlays\DJI_20260629154652_0012_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 1\Tray 11\DJI_20260629154652_0012_MS_NIR.TIF,,
1,Day 1,Tray 12,12,DJI_20260629154739_0013,0,PASS_AUTO,projection_regular_lattice,NIR,70,1374,871,1,projection_regular_lattice,755.7547748635667,Yes,0.0551107841322668,0.9469640527773293,0.1002041390044498,0.9016764513897629,0.8918532686450625,0.8014723123853131,136.15767852317143,116.34792379284082,0.005732540533178259,4.238218071741351,0.03135504232637126,10.88705707383343,0.08054425930457397,70,119.01178894042968,101.64647331237794,92.38404846191406,0,0,0,0,nan,1.1527037908500772,1.173757873452843,Day 1\Tray 12\overlays\DJI_20260629154739_0013_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 1\Tray 12\DJI_20260629154739_0013_MS_NIR.TIF,,
2,Day 2,Tray 1,1,DJI_20260630132402_0001,0,PASS_AUTO,projection_regular_lattice,NIR,70,1373,856,1,projection_regular_lattice,790.7006406631143,Yes,0.053638807021760534,0.9462880915976595,0.09224245487976357,0.9106057362798754,0.892649284575899,0.8183632814001119,136.18278075380144,116.75579642064378,0.002484067066042649,3.2888375294577483,0.02422814860257014,9.986969821673497,0.07357182796706391,70,128.82284480503628,108.85945663452148,97.59471893310547,0,0,0,0,nan,1.1876969670607456,1.1847616527491747,Day 2\Tray 1\overlays\DJI_20260630132402_0001_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 2\Tray 1\DJI_20260630132402_0001_MS_NIR.TIF,,
2,Day 2,Tray 2,2,DJI_20260630132440_0002,0,PASS_AUTO,projection_regular_lattice,NIR,70,1373,866,1,projection_regular_lattice,814.4553685126468,Yes,0.05640704616052111,0.9491729584815454,0.1043132379484243,0.9125746214014683,0.8927659123210243,0.808261383453044,136.19691373069583,116.65998838259156,0.0049900912121266985,3.6345336678775233,0.026845227363434674,8.404646357984433,0.062078016881080215,70,136.22615541730607,122.81325149536133,113.01051330566406,0,0,0,0,nan,1.1905054076731783,1.1608716476250447,Day 2\Tray 2\overlays\DJI_20260630132440_0002_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 2\Tray 2\DJI_20260630132440_0002_MS_NIR.TIF,,
2,Day 2,Tray 3,3,DJI_20260630132506_0003,0,PASS_AUTO,projection_regular_lattice,NIR,70,1374,873,1,projection_regular_lattice,768.4295361257515,Yes,0.05052608766871171,0.9457060612450975,0.1035758058371062,0.9101714812284177,0.8951799735763859,0.8065956753913115,136.66592234045854,117.36341991326377,0.00486497787240354,3.682160422436033,0.027183874044893284,10.654107389090537,0.07865488737565599,70,123.77643857683454,98.09872207641601,88.40325927734375,0,0,0,0,nan,1.1938197677698001,1.1779739964299754,Day 2\Tray 3\overlays\DJI_20260630132506_0003_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 2\Tray 3\DJI_20260630132506_0003_MS_NIR.TIF,,
2,Day 2,Tray 4,4,DJI_20260630132544_0004,0,PASS_AUTO,projection_regular_lattice,NIR,70,1365,869,1,projection_regular_lattice,822.285085856235,Yes,0.05493280091341115,0.9508755298637648,0.10216180506770471,0.906027357802842,0.8959427289503537,0.8038655527351373,135.88742915257708,116.4275270915275,0.009815326468561349,3.4988515456218003,0.02585861305206023,8.041520754184052,0.059431665168178015,70,139.8096802847726,125.40082015991212,109.72076416015625,0,0,0,0,nan,1.189277026634948,1.1595091768569399,Day 2\Tray 4\overlays\DJI_20260630132544_0004_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 2\Tray 4\DJI_20260630132544_0004_MS_NIR.TIF,,
