day_order,day,tray,tray_no,capture_id,cell_id,row,column,raw_current_green_evidence,tracked_visible_emerged,carried_forward_only,first_visible_emergence_day,first_visible_emergence_day_order,green_pixels,largest_green_component,green_area_percent,square_side,coordinate_source,square_x0,square_y0,square_x1,square_y1,centre_x,centre_y
1,Day 1,Tray 4,4,DJI_20260618124331_0005,9,1,9,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,3124.688,89.38,3416.85,381.542,3270.769,235.461
1,Day 1,Tray 4,4,DJI_20260618124331_0005,10,1,10,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,3482.161,76.537,3774.323,368.699,3628.242,222.618
1,Day 1,Tray 4,4,DJI_20260618124331_0005,11,2,1,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,63.693,408.323,355.856,700.485,209.774,554.404
1,Day 1,Tray 4,4,DJI_20260618124331_0005,12,2,2,Yes,Yes,No,Day 1,1,482,447,0.5653,292.162,direct_cup_evidence,446.853,404.042,739.015,696.204,592.934,550.123
1,Day 1,Tray 4,4,DJI_20260618124331_0005,13,2,3,Yes,Yes,No,Day 1,1,145,145,0.17006,292.162,direct_cup_evidence,832.153,408.323,1124.315,700.485,978.234,554.404
1,Day 1,Tray 4,4,DJI_20260618124331_0005,14,2,4,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,1219.593,404.042,1511.756,696.204,1365.674,550.123
1,Day 1,Tray 4,4,DJI_20260618124331_0005,15,2,5,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,1594.191,404.042,1886.353,696.204,1740.272,550.123
1,Day 1,Tray 4,4,DJI_20260618124331_0005,16,2,6,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,1979.491,408.323,2271.653,700.485,2125.572,554.404
1,Day 1,Tray 4,4,DJI_20260618124331_0005,17,2,7,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,2366.931,410.463,2659.093,702.626,2513.012,556.544
1,Day 1,Tray 4,4,DJI_20260618124331_0005,18,2,8,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,2750.091,404.042,3042.253,696.204,2896.172,550.123
1,Day 1,Tray 4,4,DJI_20260618124331_0005,19,2,9,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,3126.828,412.604,3418.991,704.766,3272.909,558.685
1,Day 1,Tray 4,4,DJI_20260618124331_0005,20,2,10,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,3505.707,412.604,3797.869,704.766,3651.788,558.685
1,Day 1,Tray 4,4,DJI_20260618124331_0005,21,3,1,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,50.85,731.547,343.012,1023.709,196.931,877.628
1,Day 1,Tray 4,4,DJI_20260618124331_0005,22,3,2,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,442.572,731.547,734.734,1023.709,588.653,877.628
1,Day 1,Tray 4,4,DJI_20260618124331_0005,23,3,3,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,847.137,733.687,1139.299,1025.849,993.218,879.768
1,Day 1,Tray 4,4,DJI_20260618124331_0005,24,3,4,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,1211.031,725.125,1503.193,1017.287,1357.112,871.206
1,Day 1,Tray 4,4,DJI_20260618124331_0005,25,3,5,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,1598.472,731.547,1890.634,1023.709,1744.553,877.628
1,Day 1,Tray 4,4,DJI_20260618124331_0005,26,3,6,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,1983.772,733.687,2275.934,1025.849,2129.853,879.768
1,Day 1,Tray 4,4,DJI_20260618124331_0005,27,3,7,Yes,Yes,No,Day 1,1,95,95,0.11142,292.162,direct_cup_evidence,2326.261,735.828,2618.423,1027.99,2472.342,881.909
1,Day 1,Tray 4,4,DJI_20260618124331_0005,28,3,8,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,2752.231,733.687,3044.393,1025.849,2898.312,879.768
1,Day 1,Tray 4,4,DJI_20260618124331_0005,29,3,9,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,3126.828,731.547,3418.991,1023.709,3272.909,877.628
1,Day 1,Tray 4,4,DJI_20260618124331_0005,30,3,10,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,3507.847,733.687,3800.009,1025.849,3653.928,879.768
1,Day 1,Tray 4,4,DJI_20260618124331_0005,31,4,1,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,52.991,1052.63,345.153,1344.792,199.072,1198.711
1,Day 1,Tray 4,4,DJI_20260618124331_0005,32,4,2,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,448.993,1056.911,741.156,1349.073,595.074,1202.992
1,Day 1,Tray 4,4,DJI_20260618124331_0005,33,4,3,Yes,Yes,No,Day 1,1,589,589,0.6908,292.162,direct_cup_evidence,832.153,1054.771,1124.315,1346.933,978.234,1200.852
1,Day 1,Tray 4,4,DJI_20260618124331_0005,34,4,4,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,1217.453,1059.052,1509.615,1351.214,1363.534,1205.133
1,Day 1,Tray 4,4,DJI_20260618124331_0005,35,4,5,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,1598.472,1059.052,1890.634,1351.214,1744.553,1205.133
1,Day 1,Tray 4,4,DJI_20260618124331_0005,36,4,6,Yes,Yes,No,Day 1,1,44,44,0.0516,292.162,direct_cup_evidence,1949.523,1024.803,2241.685,1316.965,2095.604,1170.884
1,Day 1,Tray 4,4,DJI_20260618124331_0005,37,4,7,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,2362.65,1033.365,2654.812,1325.527,2508.731,1179.446
1,Day 1,Tray 4,4,DJI_20260618124331_0005,38,4,8,Yes,Yes,No,Day 1,1,105,105,0.12315,292.162,direct_cup_evidence,2747.95,1052.63,3040.112,1344.792,2894.031,1198.711
1,Day 1,Tray 4,4,DJI_20260618124331_0005,39,4,9,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,3111.844,988.413,3404.007,1280.576,3257.926,1134.494
1,Day 1,Tray 4,4,DJI_20260618124331_0005,40,4,10,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,3505.707,1059.052,3797.869,1351.214,3651.788,1205.133
1,Day 1,Tray 4,4,DJI_20260618124331_0005,41,5,1,Yes,Yes,No,Day 1,1,461,461,0.54067,292.162,direct_cup_evidence,57.272,1371.573,349.434,1663.735,203.353,1517.654
1,Day 1,Tray 4,4,DJI_20260618124331_0005,42,5,2,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,438.291,1384.416,730.453,1676.578,584.372,1530.497
1,Day 1,Tray 4,4,DJI_20260618124331_0005,43,5,3,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,827.872,1386.557,1120.034,1678.719,973.953,1532.638
1,Day 1,Tray 4,4,DJI_20260618124331_0005,44,5,4,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,1208.891,1380.135,1501.053,1672.297,1354.972,1526.216
1,Day 1,Tray 4,4,DJI_20260618124331_0005,45,5,5,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,1596.331,1390.838,1888.493,1683.0,1742.412,1536.919
1,Day 1,Tray 4,4,DJI_20260618124331_0005,46,5,6,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,1983.772,1390.838,2275.934,1683.0,2129.853,1536.919
1,Day 1,Tray 4,4,DJI_20260618124331_0005,47,5,7,Yes,Yes,No,Day 1,1,20,20,0.02346,292.162,direct_cup_evidence,2356.228,1358.729,2648.391,1650.892,2502.309,1504.811
1,Day 1,Tray 4,4,DJI_20260618124331_0005,48,5,8,Yes,Yes,No,Day 1,1,59,59,0.0692,292.162,direct_cup_evidence,2762.934,1397.259,3055.096,1689.422,2909.015,1543.341
1,Day 1,Tray 4,4,DJI_20260618124331_0005,49,5,9,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,3099.001,1352.308,3391.163,1644.47,3245.082,1498.389
1,Day 1,Tray 4,4,DJI_20260618124331_0005,50,5,10,No,No,No,,,0,0,0.0,292.162,global_lattice_fitted,3504.385,1370.62,3796.547,1662.782,3650.466,1516.701
1,Day 1,Tray 4,4,DJI_20260618124331_0005,51,6,1,Yes,Yes,No,Day 1,1,44,44,0.0516,292.162,direct_cup_evidence,61.553,1699.078,353.715,1991.24,207.634,1845.159
1,Day 1,Tray 4,4,DJI_20260618124331_0005,52,6,2,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,438.291,1709.781,730.453,2001.943,584.372,1855.862
1,Day 1,Tray 4,4,DJI_20260618124331_0005,53,6,3,Yes,Yes,No,Day 1,1,402,214,0.47148,292.162,direct_cup_evidence,827.872,1709.781,1120.034,2001.943,973.953,1855.862
1,Day 1,Tray 4,4,DJI_20260618124331_0005,54,6,4,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,1208.891,1714.062,1501.053,2006.224,1354.972,1860.143
1,Day 1,Tray 4,4,DJI_20260618124331_0005,55,6,5,Yes,Yes,No,Day 1,1,567,567,0.66272,292.162,direct_cup_evidence,1596.331,1718.343,1888.493,2010.505,1742.412,1864.424
1,Day 1,Tray 4,4,DJI_20260618124331_0005,56,6,6,Yes,Yes,No,Day 1,1,104,104,0.12156,292.162,direct_cup_evidence,1983.772,1718.343,2275.934,2010.505,2129.853,1864.424
1,Day 1,Tray 4,4,DJI_20260618124331_0005,57,6,7,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,2369.072,1714.062,2661.234,2006.224,2515.153,1860.143
1,Day 1,Tray 4,4,DJI_20260618124331_0005,58,6,8,Yes,Yes,No,Day 1,1,27,27,0.03167,292.162,direct_cup_evidence,2775.777,1748.311,3067.939,2040.473,2921.858,1894.392
1,Day 1,Tray 4,4,DJI_20260618124331_0005,59,6,9,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,3113.985,1669.11,3406.147,1961.272,3260.066,1815.191
1,Day 1,Tray 4,4,DJI_20260618124331_0005,60,6,10,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,3535.674,1733.327,3827.837,2025.489,3681.756,1879.408
1,Day 1,Tray 4,4,DJI_20260618124331_0005,61,7,1,Yes,Yes,No,Day 1,1,172,172,0.20173,292.162,direct_cup_evidence,52.991,2026.583,345.153,2318.745,199.072,2172.664
1,Day 1,Tray 4,4,DJI_20260618124331_0005,62,7,2,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,436.15,2041.567,728.312,2333.729,582.231,2187.648
1,Day 1,Tray 4,4,DJI_20260618124331_0005,63,7,3,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,821.45,2043.707,1113.612,2335.869,967.531,2189.788
1,Day 1,Tray 4,4,DJI_20260618124331_0005,64,7,4,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,1211.031,2045.848,1503.193,2338.01,1357.112,2191.929
1,Day 1,Tray 4,4,DJI_20260618124331_0005,65,7,5,Yes,Yes,No,Day 1,1,59,59,0.0692,292.162,direct_cup_evidence,1596.331,2045.848,1888.493,2338.01,1742.412,2191.929
1,Day 1,Tray 4,4,DJI_20260618124331_0005,66,7,6,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,1970.928,2035.145,2263.091,2327.307,2117.009,2181.226
1,Day 1,Tray 4,4,DJI_20260618124331_0005,67,7,7,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,2369.072,2043.707,2661.234,2335.869,2515.153,2189.788
1,Day 1,Tray 4,4,DJI_20260618124331_0005,68,7,8,No,No,No,,,0,0,0.0,292.162,direct_cup_evidence,2754.372,2030.864,3046.534,2323.026,2900.453,2176.945
1,Day 1,Tray 4,4,DJI_20260618124331_0005,69,7,9,Yes,Yes,No,Day 1,1,603,603,0.70722,292.162,direct_cup_evidence,3124.688,2035.145,3416.85,2327.307,3270.769,2181.226
1,Day 1,Tray 4,4,DJI_20260618124331_0005,70,7,10,Yes,Yes,No,Day 1,1,179,179,0.20994,292.162,direct_cup_evidence,3507.847,2028.723,3800.009,2320.886,3653.928,2174.804
1,Day 1,Tray 5,5,DJI_20260618124449_0006,1,1,1,No,No,No,,,0,0,0.0,296.32,direct_cup_evidence,44.052,69.399,340.372,365.719,192.212,217.559
1,Day 1,Tray 5,5,DJI_20260618124449_0006,2,1,2,No,No,No,,,0,0,0.0,296.32,direct_cup_evidence,420.028,63.062,716.348,359.382,568.188,211.222
1,Day 1,Tray 5,5,DJI_20260618124449_0006,3,1,3,No,No,No,,,0,0,0.0,296.32,direct_cup_evidence,798.115,58.838,1094.436,355.158,946.276,206.998
